circuit_name,shots,optimization_level,noise_rate,num_qubits,depth,count_1q,count_2q,runtime,tvd,top_state,success_probability,n_qubits_config,depth_config,repeat
Bell,4096,2,0.0,2,3,1,1,0.009491205215454102,0.00537109375,11,,2,,0
Bell,4096,2,0.001,2,3,1,1,0.010840177536010742,0.006591796875,11,,2,,0
Bell,4096,2,0.005,2,3,1,1,0.010125398635864258,0.00830078125,11,,2,,0
Bell,4096,2,0.01,2,3,1,1,0.01135110855102539,0.010986328125,11,,2,,0
Bell,4096,2,0.03,2,3,1,1,0.011264801025390625,0.03100585937499989,11,,2,,0
Bell,4096,2,0.05,2,3,1,1,0.010456085205078125,0.05029296874999989,11,,2,,0
Bell,4096,3,0.0,2,3,1,1,0.010167837142944336,0.00537109375,11,,2,,0
Bell,4096,3,0.001,2,3,1,1,0.012810468673706055,0.006591796875,11,,2,,0
Bell,4096,3,0.005,2,3,1,1,0.012099266052246094,0.00830078125,11,,2,,0
Bell,4096,3,0.01,2,3,1,1,0.009354829788208008,0.010986328125,11,,2,,0
Bell,4096,3,0.03,2,3,1,1,0.012592315673828125,0.03100585937499989,11,,2,,0
Bell,4096,3,0.05,2,3,1,1,0.013011455535888672,0.05029296874999989,11,,2,,0
GHZ,128,0,0.0,2,3,1,1,0.001336812973022461,0.046875,11,,2,,0
GHZ,128,0,0.001,2,3,1,1,0.0017173290252685547,0.046875,11,,2,,0
GHZ,128,0,0.005,2,3,1,1,0.002105712890625,0.046875,11,,2,,0
GHZ,128,0,0.01,2,3,1,1,0.0015571117401123047,0.0546875,11,,2,,0
GHZ,128,0,0.03,2,3,1,1,0.0023071765899658203,0.0703125,11,,2,,0
GHZ,128,0,0.05,2,3,1,1,0.0015935897827148438,0.078125,11,,2,,0
GHZ,128,1,0.0,2,3,1,1,0.0012054443359375,0.046875,11,,2,,0
GHZ,128,1,0.001,2,3,1,1,0.001834869384765625,0.046875,11,,2,,0
GHZ,128,1,0.005,2,3,1,1,0.0014812946319580078,0.046875,11,,2,,0
GHZ,128,1,0.01,2,3,1,1,0.001546621322631836,0.0546875,11,,2,,0
GHZ,128,1,0.03,2,3,1,1,0.0023140907287597656,0.0703125,11,,2,,0
GHZ,128,1,0.05,2,3,1,1,0.0019307136535644531,0.078125,11,,2,,0
GHZ,128,2,0.0,2,3,1,1,0.0012230873107910156,0.046875,11,,2,,0
GHZ,128,2,0.001,2,3,1,1,0.001550436019897461,0.046875,11,,2,,0
GHZ,128,2,0.005,2,3,1,1,0.001491546630859375,0.046875,11,,2,,0
